WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2610996 37.8666276,-122.2611789 37.8666143,-122.2618148 37.8665313,-122.2620764 37.8664972,-122.2625421 37.8664364,-122.2630246 37.8663734)","936","1723","338","0","698994093",171.334,residential,"1","25","900",15.3305551184
"LINESTRING (-122.2588183 37.8669216,-122.2588314 37.8669825,-122.2588754 37.8671938,-122.2589848 37.8677185,-122.2590046 37.8678138)","937","339","576","1","188434143",100.547,secondary,"2","25","1200",8.9967042472
"LINESTRING (-122.2588183 37.8669216,-122.2587436 37.8669288,-122.2574032 37.8670964,-122.256916 37.8671596,-122.2567289 37.8671837,-122.2566244 37.8671971,-122.2565495 37.8672067)","938","340","339","0","541335494",201.671,residential,"1","25","900",18.0450370696
"LINESTRING (-122.2588183 37.8669216,-122.2589104 37.8669128,-122.2593538 37.8668556,-122.2594397 37.8668445,-122.2596169 37.8668217,-122.2597425 37.8668054,-122.2601443 37.8667535,-122.2604472 37.8667144,-122.2610197 37.8666405,-122.2610996 37.8666276)","939","338","339","0","698994093",202.921,residential,"1","25","900",18.1568840696
"LINESTRING (-122.2565495 37.8672067,-122.2565361 37.8671415,-122.2563842 37.8664052,-122.2563807 37.8663884,-122.2563672 37.8663235)","940","207","340","0","6345181",99.503,residential,"1","25","900",8.9032896328
"LINESTRING (-122.2565495 37.8672067,-122.2565622 37.8672713,-122.2566507 37.8676987)","941","1337","340","0","6345181",55.425,residential,"1","25","900",4.95929598
"LINESTRING (-122.2565495 37.8672067,-122.2564678 37.8672169,-122.2560251 37.8672724,-122.2558348 37.8672968,-122.2555963 37.8673272,-122.2555452 37.8673337,-122.2551693 37.8673822,-122.255027 37.8674006)","942","1740","340","0","541335494",135.376,residential,"1","25","900",12.1131195776
"LINESTRING (-122.2565495 37.8672067,-122.2566244 37.8671971,-122.2567289 37.8671837,-122.256916 37.8671596,-122.2574032 37.8670964,-122.2587436 37.8669288,-122.2588183 37.8669216)","943","339","340","0","541335494",201.671,residential,"1","25","900",18.0450370696
"LINESTRING (-122.2542718 37.8674857,-122.2543553 37.8674818,-122.2543793 37.8674806,-122.2543992 37.8674781,-122.2548981 37.8674173,-122.255027 37.8674006)","944","1740","341","0","541335494",67.002,residential,"1","25","900",5.9951781552
"LINESTRING (-122.2542718 37.8674857,-122.2542622 37.8674267,-122.2542571 37.8674012,-122.2541293 37.8667645,-122.2541198 37.8667173,-122.2541067 37.8666519,-122.2540846 37.8665637)","945","208","341","0","698796634",103.84,tertiary,"2","25","1800",9.291353984
"LINESTRING (-122.2542718 37.8674857,-122.2542831 37.8675552,-122.2543263 37.867768,-122.2544329 37.8682867,-122.2544449 37.8683449)","946","512","341","0","698994090",96.743,tertiary,"2","25","1800",8.6563314568
