Run #, C1, C2, C3, C4, C5, C6, C7, C8, D, tt_1, tt_2, tt_3
24, 1897.34, 479.278, 1756.25, 324.753, 310.441, 512.521, 404.378, 1519.94, 3583.97, 1039.92, 1039.91, 1039.92
25, 1869.88, 381.142, 1642.65, 313.867, 303.746, 474.329, 446.806, 1596.92, 3987.87, 1474.67, 1474.66, 1474.67
26, 1704.57, 432.602, 1807.08, 316.583, 230.595, 447.486, 454.295, 1741.25, 4267.35, 1627.38, 1627.37, 1627.37
27, 1500.34, 430.979, 1849.42, 263.879, 262.282, 445.625, 442.766, 1860.86, 3545.87, 1156.89, 1156.89, 1156.89
28, 1808.99, 508.958, 1796.89, 214.703, 362.056, 468.51, 416.269, 1436.91, 4382.96, 1832.92, 1832.91, 1832.91
29, 1753.13, 414.452, 1955.77, 293.242, 228.771, 509.881, 410.699, 1918.27, 3182.03, 813.467, 858.11, 813.467
30, 1696.14, 491.83, 2115.19, 302.006, 279.889, 367.999, 429.129, 1665.42, 3108.42, 779.638, 881.899, 779.638
31, 1747.93, 383.639, 1623.93, 376.829, 263.937, 382.215, 396.596, 2023.09, 4242.39, 1759.67, 1759.66, 1759.66
32, 1876.68, 450.205, 1845.03, 368.29, 289.735, 469.504, 488.707, 1692.18, 3287.14, 864.533, 870.998, 864.533
33, 1938.48, 486.769, 1664.8, 310.439, 295.909, 490.41, 492.561, 1155.72, 4083.8, 1760.87, 1760.86, 1760.87
34, 1844.66, 451.771, 1730.28, 305.824, 264.399, 436.641, 519.693, 2110.43, 3389.87, 919.861, 919.859, 919.86
35, 1852.81, 507.137, 1821.84, 289.593, 341.333, 524.892, 448.387, 1717.31, 3709.19, 1052.85, 1052.85, 1052.85
36, 1856.15, 530.427, 1558.02, 319.866, 277.318, 516.298, 411.445, 1377.02, 4059.14, 1645.33, 1645.33, 1645.32
37, 1893.95, 587.869, 1712.57, 273.385, 248.117, 507.169, 402.667, 2012.1, 4344.77, 1583.47, 1583.46, 1583.46
38, 1814.98, 517.737, 1870.09, 330.264, 299.233, 461.93, 433.573, 1896.06, 3589.32, 960.687, 960.685, 960.685
39, 2011.72, 470.241, 1994.06, 295.868, 274.034, 497.924, 379.198, 1579.41, 4564.82, 1562.8, 1562.8, 1562.8
40, 1597, 459.677, 1537.35, 270.165, 300.145, 456.712, 422.754, 1545.09, 3890.77, 1663.01, 1663, 1663
41, 1974.59, 450.955, 1636.94, 266.673, 314.832, 453.123, 504.795, 1834.37, 3415.28, 968.074, 968.071, 968.073
42, 1693.17, 389.971, 2081.29, 258.951, 276.779, 371.567, 451.185, 2075.73, 3933.56, 1148.69, 1148.69, 1148.69
43, 1560.59, 483.347, 1744.17, 300.174, 324.303, 438.603, 406.372, 1891.98, 3597.2, 1162.8, 1162.8, 1162.8
44, 2154.79, 429.883, 1326.6, 245.285, 259.836, 424.645, 474.199, 1699.5, 3549.77, 1415.52, 1415.51, 1415.52
45, 1985.02, 475.375, 1507.3, 321.047, 333.596, 437.356, 491.835, 1891.56, 3159.83, 892.752, 892.748, 892.75
46, 1709.14, 458.018, 1471.24, 261.609, 334.479, 362.586, 475.578, 1688.43, 4119.87, 1905.66, 1905.64, 1905.65
47, 1992.55, 474.398, 1481.75, 327.795, 283.211, 405.019, 467.557, 1527.23, 3906.06, 1496.68, 1496.67, 1496.68
48, 1946.5, 453.711, 1777.17, 275.989, 270.518, 414.246, 524.037, 1934.03, 4690.87, 1877.97, 1877.95, 1877.96
49, 1570.96, 412.571, 1952.03, 269.35, 300.704, 494.826, 437.469, 1974.57, 4006.73, 1377.21, 1377.2, 1377.2
50, 2110.9, 432.857, 1779.07, 247.854, 325.234, 450.298, 424.074, 1868.89, 3637.26, 981.073, 981.069, 981.068
51, 1609.75, 493.396, 1647.54, 276.434, 302.065, 464.677, 430.311, 2132.08, 3774.29, 1312.85, 1312.85, 1312.84
52, 1641.06, 475.734, 2006, 281.368, 301.183, 488.388, 512.25, 1857.61, 4559.04, 1784.72, 1784.71, 1784.71
53, 1619.77, 421.267, 1801.94, 336.419, 279.018, 455.197, 446.571, 1781.5, 3793.31, 1255.75, 1255.75, 1255.75
54, 1759.86, 433.345, 1693.13, 358.736, 317.676, 473.716, 406.134, 2087.77, 3881.03, 1257.92, 1257.91, 1257.91
55, 1843.23, 439.391, 1887.04, 306.2, 256.981, 425.185, 487.801, 1855.76, 3511.88, 934.649, 934.648, 934.649
56, 1624.78, 435.275, 2022.68, 300.45, 312.072, 400.921, 496.841, 1783.67, 4332.62, 1587.74, 1587.74, 1587.74
57, 1909.43, 410.305, 2153.14, 343.452, 285.66, 397.47, 454.732, 1622.36, 4159.52, 1197.64, 1197.64, 1197.64
58, 1737.49, 460.614, 1677.21, 289.666, 296.553, 415.875, 386.879, 1838.39, 3460.19, 1031.35, 1031.34, 1031.34
59, 1751.19, 449.225, 1675.62, 253.263, 299.543, 505.981, 407.957, 1963.99, 4143.14, 1564.13, 1564.12, 1564.12
60, 1873.42, 545.212, 1999.44, 312.934, 287.235, 396.014, 534.436, 1678.36, 3397.88, 873.642, 890.301, 873.643
61, 1358.69, 473.67, 1858.92, 305.453, 354.835, 433.532, 413.524, 1618.19, 3852.45, 1634.68, 1634.68, 1634.68
62, 1727.66, 440.944, 2007.49, 363.5, 272.433, 408.616, 443.818, 1505.25, 3556.8, 1015.66, 1027.84, 1015.66
63, 1685.66, 494.015, 1724.87, 298.401, 287.826, 460.815, 439.602, 1628.28, 2763.96, 756.5, 818.246, 756.5
64, 1646.59, 444.244, 1846.8, 293.016, 243.293, 423.12, 453.408, 1960.65, 4188.44, 1530.14, 1530.14, 1530.14
65, 1477.82, 420.31, 1854.24, 308.065, 297.864, 458.038, 442.145, 1863.29, 3380.79, 1066.15, 1066.15, 1066.15
66, 1601.98, 366.229, 1655.79, 299.964, 293.32, 486.466, 382.805, 1808.55, 3658.38, 1295.84, 1295.83, 1295.83
67, 1535.37, 444.787, 1828.18, 226.645, 315.904, 422.126, 458.466, 1790.69, 3753.2, 1302.57, 1302.56, 1302.56
68, 2259.58, 379.836, 1716.06, 296.28, 329.106, 418.605, 334.432, 1798.99, 3474.2, 934.674, 934.669, 934.672
69, 1729.33, 385.935, 1764.36, 282.713, 304.859, 467.21, 425.993, 1532.58, 3648.08, 1181.66, 1181.66, 1181.66
70, 2031.72, 447.049, 1602.02, 311.612, 251.103, 477.529, 436.134, 1800.86, 4087.41, 1467.48, 1467.47, 1467.47
71, 1824.27, 394.382, 2044.98, 295.34, 321.073, 499.872, 477.665, 1701.57, 3790.85, 1052.5, 1052.5, 1052.5
72, 1939.56, 451.28, 2150.29, 308.587, 250.635, 432.398, 357.406, 1730.2, 3349.65, 787.932, 863.791, 787.932
73, 1789.03, 419.264, 1695.48, 383.369, 354.338, 531.257, 429.859, 1709.26, 3921.22, 1315.88, 1315.87, 1315.88
74, 1935.04, 473.402, 1617.95, 318.684, 301.086, 398.632, 409.741, 1947.04, 3941.94, 1304.9, 1304.89, 1304.89
75, 1599.5, 472.325, 1591.82, 310.314, 274.399, 473.161, 544.813, 2252.03, 3958.25, 1542.39, 1542.38, 1542.39
76, 1565.92, 436.564, 1428.23, 325.739, 308.627, 391.906, 494.032, 1711.51, 2971.82, 961.243, 961.241, 961.242
77, 1778.68, 467.798, 1572.28, 304.312, 265.647, 489.746, 476.761, 1854.32, 3640.92, 1200.35, 1200.34, 1200.35
78, 2098.02, 503.37, 1737.22, 272.675, 332.196, 389.9, 516.559, 1778.14, 3373.87, 878.197, 878.195, 878.195
79, 1846.74, 406.617, 1658.55, 297.942, 297.276, 426.535, 498.942, 1536.99, 3251.81, 949.421, 949.418, 949.42
80, 1770.44, 457.393, 1653.01, 283.707, 326.262, 412.294, 445.466, 2001.31, 3739.04, 1195.14, 1195.13, 1195.14
81, 1922.28, 405.298, 1678.91, 315.199, 268.019, 540.198, 438.318, 1875.7, 3876.4, 1247.24, 1247.24, 1247.24
82, 2193.74, 481.159, 1708.99, 288.623, 268.954, 467.37, 447.274, 1692.9, 2916.8, 759.788, 776.973, 759.788
83, 2051.59, 525.093, 1966.67, 300.888, 309.762, 394.183, 401.934, 1553.99, 4259.79, 1302.82, 1302.81, 1302.81
84, 1917.05, 402.756, 1912.25, 278.851, 322.981, 435.722, 463.647, 1911.31, 3517.85, 911.95, 911.949, 911.95
85, 1649.01, 511.668, 1804.23, 324.12, 271.296, 470.184, 516.126, 1982.97, 3847.04, 1224.38, 1224.37, 1224.37
86, 1849.57, 407.718, 1934.11, 337.493, 329.468, 511.522, 426.597, 1759.89, 4020.76, 1200.15, 1200.15, 1200.15
87, 1839, 468.089, 1600.39, 288.161, 328.021, 496.048, 502.087, 1568.34, 3303.96, 980.105, 980.102, 980.102
88, 1397.33, 504.803, 1700.99, 309.116, 313.973, 513.997, 462.209, 1812.32, 3608.85, 1361.96, 1361.96, 1361.96
89, 1791.99, 487.924, 2091.48, 322.621, 291.997, 385.647, 422.075, 2048.26, 3342.51, 815.228, 867.599, 815.228
90, 2006.49, 427.359, 1831.78, 301.176, 294.621, 536.14, 538.113, 1882.62, 3405.07, 871.448, 871.448, 871.448
91, 1637.19, 465.251, 1885.7, 275.733, 292.794, 485.917, 425.037, 1488.4, 3065.14, 859.276, 912.257, 859.276
92, 1755.27, 492.362, 1772, 312.455, 288.655, 444.988, 463.89, 1873.5, 4240.75, 1514.44, 1514.43, 1514.43
93, 1681.35, 466.475, 1720.1, 353.027, 312.844, 485.205, 395.395, 1678.99, 3502.12, 1058.03, 1058.03, 1058.03
94, 1666.35, 502.102, 1850.9, 231.355, 339.429, 522.332, 481.418, 1722.29, 4034.24, 1396.83, 1396.83, 1396.83
95, 2133.72, 550.639, 1634.74, 354.533, 289.072, 460.116, 416.841, 1852.4, 4224.85, 1406.78, 1406.77, 1406.78
96, 1315.3, 437.174, 1761.8, 249.209, 343.651, 443.919, 484.207, 1663.71, 3903.46, 1877.99, 1877.99, 1877.99
97, 1780.85, 404.41, 1450.62, 297.162, 289.306, 464.139, 447.87, 1657.98, 3660.67, 1408.11, 1408.1, 1408.11
98, 1832.67, 513.334, 1987.87, 281.778, 316.598, 392.927, 418.767, 2071.57, 3619.01, 928.651, 928.65, 928.651
99, 1775.7, 477.933, 1579.53, 280.721, 336.243, 480.086, 460.001, 2379.16, 3812.16, 1278.79, 1278.78, 1278.78
100, 2352.68, 498.881, 1950.22, 278.582, 293.785, 443.179, 453.076, 1410.89, 3036.32, 742.091, 824.884, 742.091
101, 1469.87, 499.988, 1903.27, 319.128, 270.02, 375.644, 508.042, 1626.77, 3200.85, 978.094, 1007.53, 978.094
102, 1968.81, 506.282, 1837.6, 324.317, 237.029, 499.076, 433.872, 1937.46, 3749.08, 1005.32, 1005.32, 1005.32
103, 1681.43, 498.359, 2126.16, 359.726, 333.024, 430.947, 459.231, 1994.6, 3484.58, 899.034, 944.324, 899.034
104, 1800.27, 347.246, 1984.07, 307.947, 247.206, 456.001, 486.003, 1755.56, 3472.55, 931.397, 937.984, 931.397
105, 1629.34, 458.711, 1500.86, 303.753, 278.2, 463.262, 390.071, 1908.89, 4419.31, 2321.87, 2321.84, 2321.86
106, 1698.26, 395.784, 1727.51, 302.467, 298.134, 454.427, 412.346, 2042.01, 3496.75, 1041.69, 1041.69, 1041.69
107, 1784.13, 427.803, 1897.42, 318.199, 330.459, 471.657, 481.872, 1757.55, 3799.89, 1108.34, 1108.34, 1108.34
108, 1812.2, 383.067, 1920.06, 273.858, 335.724, 459.568, 420.687, 1914.65, 3220.5, 833.774, 852.979, 833.774
109, 1857.71, 457.169, 1707.61, 326.468, 302.722, 395.06, 389.062, 1979.97, 3665.6, 1069.64, 1069.63, 1069.63
